run_date,group,ticker,sector,er_multiple_field,er_multiple_value,er_anchor_xs,er_anchor_own,er_anchor_operative,er_anchor_divergence_pct,er_anchor_divergence,er_rerate_status,er_rerate,er_growth,er_yield,expected_return_12_24m,er_confidence,er_growth_clamped,er_rerate_clamped,er_anchor_mode
20260724,NASDAQ,CHKP,Technology,fwd_pe,11.051474,21.4425,,21.4425,,False,cross_sectional,10.0,5.8,3.6,19.4,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CHRD,Energy,ev_ebitda,4.232,7.656,,7.656,,False,cross_sectional,10.0,-25.0,-10.0,-25.0,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CHTR,Communication Services,fwd_pe,2.8425024,13.3686,,13.3686,,False,cross_sectional,10.0,8.9,4.8,23.7,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CHYM,Technology,fwd_pe,12.89441,21.4425,,21.4425,,False,cross_sectional,10.0,-25.0,15.0,0.0,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CLBT,Technology,fwd_pe,21.269836,21.4425,,21.4425,,False,cross_sectional,0.0,-25.0,-10.0,-35.0,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,CMCSA,Communication Services,fwd_pe,5.947568,13.3686,,13.3686,,False,cross_sectional,10.0,-25.0,5.4,-9.6,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CME,Financial Services,fwd_pe,19.655153,15.3078,,15.3078,,False,cross_sectional,-2.5,2.5,-0.1,-0.1,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CMPR,Industrials,ev_ebitda,11.559,18.257,,18.257,,False,cross_sectional,10.0,9.8,-1.7,18.1,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,COCO,Consumer Defensive,fwd_pe,30.831112,15.1717,56.3,15.1717,-73.1,True,cross_sectional,-2.5,50.0,-1.0,46.5,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,COIN,Financial Services,fwd_pe,33.771297,15.3078,,15.3078,,False,cross_sectional,-2.5,50.0,-6.3,41.2,0.7,True,True,cross_sectional_primary
20260724,NASDAQ,COKE,Consumer Defensive,fwd_pe,4.5824347,15.1717,,15.1717,,False,cross_sectional,10.0,50.0,-0.0,60.0,0.9,True,True,cross_sectional_primary
20260724,NASDAQ,COO,Healthcare,fwd_pe,14.034661,18.3383,,18.3383,,False,cross_sectional,10.0,6.5,-0.2,16.3,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,CORT,Healthcare,fwd_pe,30.143421,18.3383,,18.3383,,False,cross_sectional,-2.5,3.8,-3.6,-2.3,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,COST,Consumer Defensive,fwd_pe,40.891914,15.1717,,15.1717,,False,cross_sectional,-2.5,45.5,-0.0,43.0,0.5,False,True,cross_sectional_primary
20260724,NASDAQ,CPB,Consumer Defensive,fwd_pe,10.9752655,15.1717,,15.1717,,False,cross_sectional,10.0,50.0,0.2,60.2,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CPRT,Industrials,ev_ebitda,10.755,18.257,,18.257,,False,cross_sectional,10.0,2.3,-0.6,11.7,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CRDO,Technology,fwd_pe,26.05811,21.4425,295.2,21.4425,-92.7,True,cross_sectional,-2.3,50.0,-10.0,37.7,0.9,True,False,cross_sectional_primary
20260724,NASDAQ,CROX,Consumer Cyclical,fwd_pe,9.108393,15.9096,,15.9096,,False,cross_sectional,10.0,-4.2,6.5,12.3,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CRUS,Technology,fwd_pe,14.133748,21.4425,,21.4425,,False,cross_sectional,10.0,19.9,2.9,32.8,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CRVL,Financial Services,price_fcf,27.293822910149345,22.102,,22.102,,False,cross_sectional,-2.5,18.9,0.7,17.1,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CRWD,Technology,fwd_pe,117.40909,21.4425,,21.4425,,False,cross_sectional,-2.5,21.4,-1.4,17.5,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,CRWV,Technology,fwd_pe,,21.4425,,21.4425,,False,UNMEASURED,,46.9,-3.8,43.1,0.5,False,False,cross_sectional_primary
20260724,NASDAQ,CSCO,Technology,fwd_pe,23.530836,21.4425,,21.4425,,False,cross_sectional,0.0,37.1,1.3,38.4,0.5,False,False,cross_sectional_primary
20260724,NASDAQ,CTSH,Technology,fwd_pe,6.951931,21.4425,,21.4425,,False,cross_sectional,10.0,3.6,1.6,15.2,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,CVCO,Consumer Cyclical,fwd_pe,19.119104,15.9096,,15.9096,,False,cross_sectional,-2.2,21.1,3.8,22.7,0.9,False,False,cross_sectional_primary
20260724,NASDAQ,CVLT,Technology,fwd_pe,23.445183,21.4425,,21.4425,,False,cross_sectional,0.0,-25.0,0.5,-24.5,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,CWST,Industrials,ev_ebitda,16.842,18.257,,18.257,,False,cross_sectional,0.0,23.8,-7.2,16.6,0.7,False,False,cross_sectional_primary
20260724,NASDAQ,CZR,Consumer Cyclical,fwd_pe,35.42654,15.9096,,15.9096,,False,cross_sectional,-2.5,5.1,1.9,4.5,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,DASH,Consumer Cyclical,fwd_pe,21.860733,15.9096,,15.9096,,False,cross_sectional,-2.5,-6.1,-5.8,-14.4,0.5,False,True,cross_sectional_primary
20260724,NASDAQ,DAVE,Technology,fwd_pe,19.201967,21.4425,,21.4425,,False,cross_sectional,5.7,50.0,-10.0,45.7,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,DBX,Technology,fwd_pe,8.3481865,21.4425,,21.4425,,False,cross_sectional,10.0,-5.9,11.2,15.3,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,DDOG,Technology,fwd_pe,84.728485,21.4425,,21.4425,,False,cross_sectional,-2.5,50.0,-1.9,45.6,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,DGII,Technology,fwd_pe,23.500002,21.4425,,21.4425,,False,cross_sectional,0.0,3.6,-1.2,2.4,0.9,False,False,cross_sectional_primary
20260724,NASDAQ,DJT,Communication Services,price_fcf,173.57695528953937,22.102,,22.102,,False,cross_sectional,-2.5,4.9,-10.0,-7.6,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,DKNG,Consumer Cyclical,fwd_pe,13.3957405,15.9096,,15.9096,,False,cross_sectional,9.0,50.0,-3.5,55.4,0.7,True,False,cross_sectional_primary
20260724,NASDAQ,DLO,Technology,fwd_pe,12.478951,21.4425,,21.4425,,False,cross_sectional,10.0,-6.7,0.2,3.5,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,DLTR,Consumer Defensive,fwd_pe,15.326833,15.1717,,15.1717,,False,cross_sectional,0.0,9.5,3.1,12.6,0.9,False,False,cross_sectional_primary
20260724,NASDAQ,DOCU,Technology,fwd_pe,9.229375,21.4425,,21.4425,,False,cross_sectional,10.0,17.6,-0.0,27.6,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,DORM,Consumer Cyclical,fwd_pe,14.102291,15.9096,,15.9096,,False,cross_sectional,6.2,-23.5,1.2,-16.0,0.5,False,False,cross_sectional_primary
